0	-32.66	-22.36	-8.5
0	-34	-20.1163	-7.09303
0	-33.4118	-17.1471	-5.91177
0	-33.5692	-15.8462	-9.10769
0	-30.4	-18.14	-8.3
0	-27.125	-12.4583	-9
0	-31.74	-7.4	-7.18
0	-31.7368	-7.94737	-5.57895
0	-34.2	-6.71111	-3.35556
0	-34.4167	-4.77778	-8.02778
0	-34.6304	-6.58696	-6.08696
0	-37.1154	-6.26923	-6.69231
0	-35.9811	-6.64151	-5.86792
0	-33	-7.6129	-4.54839
0	-28.8723	-8.19149	-9.74468
0	-23.7586	-8.86207	-3.65517
0	-23.9474	-8.14035	-3.21053
0	-24.34	-7.52	-0.700001
0	-26.4737	-8.68421	0.473686
0	-28.6923	-9.17949	-2.28205
0	-33.5902	-9.36066	-0.622952
0	-35.42	-6.98	0.28
0	-33.95	-10.05	1.6
0	-31.7083	-9.09722	0.583332
0	-35.0847	-9	2.08475
0	-40.1471	-8.67647	1.94118
0	-39.1765	-8.67647	5.38235
0	-38.4828	-9.7931	5.37931
0	-40.5397	-10.8413	9.25397
0	-39.46	-14.72	6.02
0	-35.3421	-12.6316	3.71053
0	-31.45	-10.5167	7.53333
0	-28.5352	-11.7183	7.88732
0	-26.5952	-9.97619	6.19048
0	-25.4444	-10.2222	8.25926
0	-30.1449	-10.3333	5.84058
0	-30.1719	-9.39062	6.90625
0	-24.9423	-10.2308	7.55769
0	-27.2727	-12.9697	6.78788
0	-30.24	-7.58	5.74
0	-30.8519	-6.96296	2.62963
0	-32.9259	-10.7963	5.2037
0	-29.551	-9.26531	9.91837
0	-27.8429	-8.25714	10.1857
0	-30.4154	-9.12308	9.29231
0	-30.7188	-11.3594	12.9219
0	-30.8065	-13	15.6129
0	-34.8043	-10.087	11.9348
0	-31.7018	-6.31579	7.77193
0	-26.64	-4.68	5.52
0	-22.5897	-5.69231	2.94872
0	-19.38	-12.52	1.54
0	-23.7049	-9.88525	1.03279
0	-23.8966	-9.62069	0.482758
0	-22.1944	-6.58333	1
0	-22.4118	-2.20588	2.38235
0	-22.2692	-2.38461	2.57692
0	-22.9048	-1	3.80952
0	-20.082	-5.2623	5.86885
0	-19.82	-4	5.5
0	-18.1	-1.62	6.04
0	-18.3559	-5.66102	7.67797
0	-14.8769	-3.4	8.49231
0	-11.88	-2.7	9.78
0	-10.971	-3.07246	9.2029
0	-15.1471	0.764706	13.4412
0	-13.9722	0.0277786	15.2222
0	-18.3125	0.015625	12.4531
0	-19.42	-1.36	12.1
0	-12.2444	-1.55556	13.4444
0	-7.8806	-3.52239	12.1194
0	-4.84	-0.639999	15.88
0	-1.4717	3.90566	14.5849
0	0.173912	10.1087	13.8043
0	1.32	8.82	19.5
0	1.2	11.96	13.88
